日期,代码,得分,MACD得分,KDJ得分,BB得分,量价得分,追涨得分,趋势得分,RS得分,评级,仓位,板块类型,建议持有,收盘价,MA20偏离,未来10日收益,是否盈利
2023-09-28,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,7.19,0.0296,-0.0834,False
2023-10-20,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,6.59,-0.0566,0.0819,True
2023-11-03,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,7.13,0.0395,-0.021,False
2023-11-17,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,6.98,0.0186,0.0602,True
2023-12-01,002327,-1,0,0,0,0,0,0,0,中性,0%,weak,1~2周,7.4,0.0662,-0.0041,False
2023-12-15,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,7.37,0.0262,-0.0095,False
2023-12-29,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,7.3,-0.0003,0.0753,True
2024-01-15,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,7.85,0.0533,0.0178,True
2024-01-29,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,7.99,0.0423,0.1089,True
2024-02-20,002327,-2,0,0,0,0,0,0,0,中性,0%,weak,1~2周,8.86,0.1094,0.0226,True
2024-03-05,002327,-1,0,0,0,0,0,0,0,中性,0%,weak,1~2周,9.06,0.0707,-0.0121,False
2024-03-19,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,8.95,0.0065,0.0123,True
2024-04-02,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,9.06,-0.0081,0.0706,True
2024-04-18,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,9.7,0.0522,-0.0557,False
2024-05-07,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,9.16,-0.011,0.0808,True
2024-05-21,002327,-1,0,0,0,0,0,0,0,中性,0%,weak,1~2周,9.9,0.0625,0.0071,True
2024-06-04,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,9.97,0.0471,-0.0552,False
2024-06-19,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,9.42,-0.0156,-0.034,False
2024-07-03,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,9.1,-0.023,-0.1429,False
2024-07-17,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,7.8,-0.1184,-0.0013,False
2024-07-31,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,7.79,-0.0445,-0.0834,False
2024-08-14,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,7.14,-0.0697,-0.1415,False
2024-08-28,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,6.13,-0.1341,0.0049,True
2024-09-11,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,6.16,-0.041,0.2825,True
2024-09-27,002327,4,2,0,1,0,0,3,0,观望/试仓,30%,main,1~2月,7.9,0.2047,-0.0557,False
2024-10-18,002327,-2,-3,0,0,0,0,1,0,中性,0%,rotating,2~4周,7.46,0.034,-0.0121,False
2024-11-01,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,7.37,-0.0342,0.0027,True
2024-11-15,002327,-3,-1,0,0,0,0,-2,0,中性,0%,rotating,2~4周,7.39,-0.0279,0.1177,True
2024-11-29,002327,-1,0,0,0,0,0,0,0,中性,0%,weak,1~2周,8.26,0.0653,0.0206,True
2024-12-13,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,8.43,0.0439,-0.0913,False
2024-12-27,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,7.66,-0.0463,-0.0196,False
2025-01-13,002327,0,0,0,0,0,0,0,0,中性,0%,weak,1~2周,7.51,-0.0433,0.0373,True
