代码,板块类型,样本数,平均得分,胜率,平均收益,中位收益,最大收益,最大亏损
588750,rotating,32,-0.25,56.2%,3.67%,1.30%,29.23%,-9.00%
588290,rotating,43,0.09,62.8%,2.91%,1.42%,32.23%,-13.56%
588200,rotating,43,-0.02,62.8%,2.89%,1.46%,30.86%,-13.98%
513310,rotating,67,0.07,58.2%,2.77%,1.60%,42.06%,-14.85%
159801,rotating,43,0.07,58.1%,2.61%,1.34%,30.84%,-15.96%
589800,rotating,28,0.25,60.7%,2.59%,1.78%,18.96%,-7.66%
159813,rotating,43,0.14,58.1%,2.59%,1.65%,29.98%,-15.28%
589000,rotating,28,-0.07,60.7%,2.58%,1.92%,18.65%,-10.31%
589680,rotating,28,0.07,60.7%,2.50%,1.84%,18.55%,-10.16%
510310,rotating,67,-0.06,55.2%,2.40%,0.29%,156.22%,-5.39%
588760,rotating,30,-0.03,53.3%,2.25%,1.57%,25.08%,-11.14%
159819,rotating,43,0.14,58.1%,2.17%,1.15%,29.54%,-11.80%
159997,rotating,43,-0.02,62.8%,2.10%,1.75%,21.76%,-13.85%
516050,rotating,43,-0.07,62.8%,2.10%,2.69%,19.64%,-12.95%
562590,rotating,43,0.14,51.2%,2.08%,1.31%,43.95%,-73.31%
159558,rotating,43,0.14,53.5%,2.03%,1.50%,42.93%,-73.10%
588790,rotating,31,-0.13,51.6%,1.96%,0.96%,24.92%,-11.03%
510100,rotating,67,-0.1,52.2%,1.85%,0.33%,110.82%,-5.95%
512480,rotating,43,0.07,62.8%,1.82%,1.72%,30.57%,-58.14%
588930,rotating,31,0.19,45.2%,1.77%,-0.81%,23.29%,-10.59%
159212,rotating,25,-0.2,60.0%,1.74%,1.17%,12.68%,-6.59%
159732,rotating,43,0.09,60.5%,1.72%,2.03%,16.89%,-16.17%
159780,rotating,67,-0.12,50.7%,1.71%,0.11%,68.29%,-14.93%
159783,rotating,66,-0.36,53.0%,1.67%,0.99%,35.54%,-9.82%
159994,rotating,43,0.07,67.4%,1.66%,3.51%,28.01%,-50.62%
159995,rotating,43,-0.05,60.5%,1.63%,1.42%,30.95%,-57.93%
512760,rotating,43,-0.12,62.8%,1.58%,1.70%,30.58%,-53.87%
159671,rotating,43,0.49,62.8%,1.52%,1.25%,13.49%,-18.92%
159781,rotating,67,-0.58,49.3%,1.51%,0.00%,48.64%,-15.02%
159608,rotating,43,0.44,62.8%,1.51%,1.05%,13.89%,-18.74%
588000,rotating,67,-0.31,52.2%,1.48%,0.22%,31.44%,-9.36%
588080,rotating,67,-0.28,55.2%,1.47%,0.23%,32.94%,-9.17%
588050,rotating,67,-0.33,55.2%,1.46%,0.23%,31.65%,-9.12%
159682,rotating,67,-0.31,56.7%,1.46%,1.26%,49.92%,-11.69%
562800,rotating,43,0.65,62.8%,1.45%,1.20%,13.64%,-18.95%
159713,rotating,43,0.53,60.5%,1.42%,1.56%,22.96%,-15.80%
516630,rotating,43,0.14,55.8%,1.40%,0.64%,21.49%,-12.20%
516510,rotating,43,0.05,53.5%,1.40%,0.62%,21.98%,-12.20%
516150,rotating,43,0.35,60.5%,1.35%,1.56%,22.87%,-16.08%
159681,rotating,67,-0.15,53.7%,1.34%,0.41%,24.85%,-12.00%
588030,rotating,63,-0.56,47.6%,1.34%,0.00%,36.72%,-14.61%
588220,rotating,63,-0.54,50.8%,1.32%,0.10%,35.85%,-14.71%
588190,rotating,63,-0.56,49.2%,1.31%,0.00%,36.52%,-14.82%
159949,rotating,67,-0.67,52.2%,1.31%,0.21%,46.30%,-16.21%
159739,rotating,43,0.16,51.2%,1.31%,0.83%,21.02%,-12.12%
